tier,name,city,glow_score,review_count
1,"Charette Cosmetics Medical Spa - Miami Beach",Miami Beach,5,554
1,"Dolce Medical Spa - Old Town",Scottsdale,5,554
1,"Evolving Aesthetics",Orlando,5,553
1,"Alive and Well Community Partners",Miami Gardens,5,551
1,"Chinitas Beauty",Miami Lakes,5,546
1,"Exotica Skin Care",Henderson,5,543
1,"Skin by Lovely",Santa Monica,5,541
1,"Elysium Aesthetics + Longevity",Chicago,5,531
1,"NakedMD Med Spa Nashville",Nashville,5,530
1,"Barehandspa LLC",Davie,5,528
1,"The Perfect Secret Med Spa",Scottsdale,5,527
1,"Tru Beauty by Trevor",Henderson,5,527
1,"HEALTH + GLOW primary care | med spa | wellness | Tampa Fl",Tampa,75,526
2,"HEALTH + GLOW primary care | med spa | wellness | Tampa Fl",Tampa,4,526
1,"Care Wellness Center",Margate,5,520
1,"Khouri Dermatology",Key Biscayne,5,518
1,"Flawless Faces MedSpa Chandler Botox, Lip Fillers And Laser Hair Removal",Chandler,5,516
1,"Suncoast Skin Solutions",Jupiter,5,515
1,"Double J Medical Aesthetics and Hair Clinic",Los Angeles,5,514
1,"Wild and Beautiful Natural Aesthetics",Austin,5,513
1,"4Ever Young Anti-Aging & Wellness Center",Orlando,5,511
1,"ZONA MED SPA",Scottsdale,5,509
1,"Aesthetic Surgery & Dermatology of Cherry Creek",Denver,5,509
1,"ZONA MED SPA",Tempe,5,509
1,"NakedMD Med Spa Dallas",Dallas,5,504
1,"Tao Spa Miami",Miami Beach,5,503
1,"Bella Santé Day Spa & Med Spa – Boston",Boston,5,502
1,"Bella MedSpa - Dallas MedSpa",Dallas,5,501
1,"Clinical Dermatology Center",Arlington,5,498
1,"Viva La Med Spa-Old Town",Chicago,5,496
1,"Imperial Dermatology",Davie,5,496
1,"Azure Dream Spa",Arlington,5,494
1,"Pler Clinics",North Miami Beach,5,494
1,"Pler Clinics",North Miami,5,494
1,"NakedMD Med Spa Phoenix",Phoenix,5,493
1,"MEDICTECH SPA - MED SPA",San Antonio,5,492
1,"Natural Body Spa + Med Spa | Alpharetta",Alpharetta,5,488
1,"Aesthetic Center for Plastic Surgery & MedSpa (ACPS)",Houston,5,487
1,"NakedMD Med Spa Beverly Hills",Beverly Hills,5,485
1,"ImageLab Med Spa",Chicago,5,483
1,"Lecada Medical Artistry",Tampa,92,476
1,"Lecada Medical Artistry",Tampa,5,474
1,"Botoxie - North Park",San Diego,5,473
1,"The Ageless Center",Buckhead,5,471
1,"The Ageless Center",Atlanta,5,471
1,"Perfect Skin Center",Tempe,5,470
1,"Khronos MedSpa & Laser",San Antonio,5,466
1,"RESTOR Medical Spa | Central Park",Denver,5,464
